Source,Source_name,Target,Target_name,Type,Id,Label,Weight
1,#makeupartist,2,#makeuptutorial,Undirected,0,,3
1,#makeupartist,3,#makeup,Undirected,1,,3
2,#makeuptutorial,3,#makeup,Undirected,2,,3
1,#makeupartist,4,#makeupideas,Undirected,3,,3
2,#makeuptutorial,4,#makeupideas,Undirected,4,,3
3,#makeup,4,#makeupideas,Undirected,5,,3
1,#makeupartist,5,#morphe,Undirected,6,,3
2,#makeuptutorial,5,#morphe,Undirected,7,,3
3,#makeup,5,#morphe,Undirected,8,,3
4,#makeupideas,5,#morphe,Undirected,9,,3
1,#makeupartist,6,#fentybeauty,Undirected,10,,3
2,#makeuptutorial,6,#fentybeauty,Undirected,11,,3
3,#makeup,6,#fentybeauty,Undirected,12,,3
4,#makeupideas,6,#fentybeauty,Undirected,13,,3
5,#morphe,6,#fentybeauty,Undirected,14,,3
1,#makeupartist,7,#hudabeauty,Undirected,15,,3
2,#makeuptutorial,7,#hudabeauty,Undirected,16,,3
3,#makeup,7,#hudabeauty,Undirected,17,,3
4,#makeupideas,7,#hudabeauty,Undirected,18,,3
5,#morphe,7,#hudabeauty,Undirected,19,,3
6,#fentybeauty,7,#hudabeauty,Undirected,20,,3
1,#makeupartist,8,#bride,Undirected,21,,3
2,#makeuptutorial,8,#bride,Undirected,22,,3
3,#makeup,8,#bride,Undirected,23,,3
4,#makeupideas,8,#bride,Undirected,24,,3
5,#morphe,8,#bride,Undirected,25,,3
6,#fentybeauty,8,#bride,Undirected,26,,3
7,#hudabeauty,8,#bride,Undirected,27,,3
1,#makeupartist,9,#atlmua,Undirected,28,,3
2,#makeuptutorial,9,#atlmua,Undirected,29,,3
3,#makeup,9,#atlmua,Undirected,30,,3
4,#makeupideas,9,#atlmua,Undirected,31,,3
5,#morphe,9,#atlmua,Undirected,32,,3
6,#fentybeauty,9,#atlmua,Undirected,33,,3
7,#hudabeauty,9,#atlmua,Undirected,34,,2
8,#bride,9,#atlmua,Undirected,35,,2
1,#makeupartist,10,#makeupaddict,Undirected,36,,3
2,#makeuptutorial,10,#makeupaddict,Undirected,37,,3
3,#makeup,10,#makeupaddict,Undirected,38,,3
4,#makeupideas,10,#makeupaddict,Undirected,39,,3
5,#morphe,10,#makeupaddict,Undirected,40,,3
6,#fentybeauty,10,#makeupaddict,Undirected,41,,3
7,#hudabeauty,10,#makeupaddict,Undirected,42,,3
8,#bride,10,#makeupaddict,Undirected,43,,3
9,#atlmua,10,#makeupaddict,Undirected,44,,3
1,#makeupartist,11,#wakeupandmakeup,Undirected,45,,3
2,#makeuptutorial,11,#wakeupandmakeup,Undirected,46,,3
3,#makeup,11,#wakeupandmakeup,Undirected,47,,3
4,#makeupideas,11,#wakeupandmakeup,Undirected,48,,3
6,#fentybeauty,11,#wakeupandmakeup,Undirected,49,,3
7,#hudabeauty,11,#wakeupandmakeup,Undirected,50,,3
8,#bride,11,#wakeupandmakeup,Undirected,51,,3
9,#atlmua,11,#wakeupandmakeup,Undirected,52,,3
10,#makeupaddict,11,#wakeupandmakeup,Undirected,53,,3
1,#makeupartist,12,#makeuplooks,Undirected,54,,3
2,#makeuptutorial,12,#makeuplooks,Undirected,55,,3
3,#makeup,12,#makeuplooks,Undirected,56,,3
4,#makeupideas,12,#makeuplooks,Undirected,57,,3
6,#fentybeauty,12,#makeuplooks,Undirected,58,,3
7,#hudabeauty,12,#makeuplooks,Undirected,59,,3
8,#bride,12,#makeuplooks,Undirected,60,,3
9,#atlmua,12,#makeuplooks,Undirected,61,,3
10,#makeupaddict,12,#makeuplooks,Undirected,62,,3
11,#wakeupandmakeup,12,#makeuplooks,Undirected,63,,3
1,#makeupartist,13,#makeupart,Undirected,64,,3
2,#makeuptutorial,13,#makeupart,Undirected,65,,3
3,#makeup,13,#makeupart,Undirected,66,,3
4,#makeupideas,13,#makeupart,Undirected,67,,3
6,#fentybeauty,13,#makeupart,Undirected,68,,3
7,#hudabeauty,13,#makeupart,Undirected,69,,2
8,#bride,13,#makeupart,Undirected,70,,2
9,#atlmua,13,#makeupart,Undirected,71,,3
10,#makeupaddict,13,#makeupart,Undirected,72,,3
11,#wakeupandmakeup,13,#makeupart,Undirected,73,,3
12,#makeuplooks,13,#makeupart,Undirected,74,,3
1,#makeupartist,14,#anastasiabeverlyhills,Undirected,75,,3
2,#makeuptutorial,14,#anastasiabeverlyhills,Undirected,76,,3
3,#makeup,14,#anastasiabeverlyhills,Undirected,77,,3
4,#makeupideas,14,#anastasiabeverlyhills,Undirected,78,,3
6,#fentybeauty,14,#anastasiabeverlyhills,Undirected,79,,3
8,#bride,14,#anastasiabeverlyhills,Undirected,80,,3
11,#wakeupandmakeup,14,#anastasiabeverlyhills,Undirected,81,,3
12,#makeuplooks,14,#anastasiabeverlyhills,Undirected,82,,3
13,#makeupart,14,#anastasiabeverlyhills,Undirected,83,,3
1,#makeupartist,15,#makeuplook,Undirected,84,,3
2,#makeuptutorial,15,#makeuplook,Undirected,85,,3
3,#makeup,15,#makeuplook,Undirected,86,,3
4,#makeupideas,15,#makeuplook,Undirected,87,,3
5,#morphe,15,#makeuplook,Undirected,88,,2
6,#fentybeauty,15,#makeuplook,Undirected,89,,2
8,#bride,15,#makeuplook,Undirected,90,,3
9,#atlmua,15,#makeuplook,Undirected,91,,2
11,#wakeupandmakeup,15,#makeuplook,Undirected,92,,3
12,#makeuplooks,15,#makeuplook,Undirected,93,,3
13,#makeupart,15,#makeuplook,Undirected,94,,3
14,#anastasiabeverlyhills,15,#makeuplook,Undirected,95,,3
1,#makeupartist,16,#beauty,Undirected,96,,3
2,#makeuptutorial,16,#beauty,Undirected,97,,3
3,#makeup,16,#beauty,Undirected,98,,3
4,#makeupideas,16,#beauty,Undirected,99,,3
5,#morphe,16,#beauty,Undirected,100,,1
6,#fentybeauty,16,#beauty,Undirected,101,,2
8,#bride,16,#beauty,Undirected,102,,3
9,#atlmua,16,#beauty,Undirected,103,,2
10,#makeupaddict,16,#beauty,Undirected,104,,3
11,#wakeupandmakeup,16,#beauty,Undirected,105,,3
12,#makeuplooks,16,#beauty,Undirected,106,,3
13,#makeupart,16,#beauty,Undirected,107,,2
14,#anastasiabeverlyhills,16,#beauty,Undirected,108,,3
15,#makeuplook,16,#beauty,Undirected,109,,3
1,#makeupartist,17,#bridalmakeup,Undirected,110,,3
2,#makeuptutorial,17,#bridalmakeup,Undirected,111,,3
3,#makeup,17,#bridalmakeup,Undirected,112,,3
4,#makeupideas,17,#bridalmakeup,Undirected,113,,3
5,#morphe,17,#bridalmakeup,Undirected,114,,1
6,#fentybeauty,17,#bridalmakeup,Undirected,115,,3
9,#atlmua,17,#bridalmakeup,Undirected,116,,2
13,#makeupart,17,#bridalmakeup,Undirected,117,,2
15,#makeuplook,17,#bridalmakeup,Undirected,118,,3
16,#beauty,17,#bridalmakeup,Undirected,119,,3
1,#makeupartist,18,#glam,Undirected,120,,3
2,#makeuptutorial,18,#glam,Undirected,121,,3
3,#makeup,18,#glam,Undirected,122,,3
4,#makeupideas,18,#glam,Undirected,123,,3
5,#morphe,18,#glam,Undirected,124,,1
6,#fentybeauty,18,#glam,Undirected,125,,2
9,#atlmua,18,#glam,Undirected,126,,3
12,#makeuplooks,18,#glam,Undirected,127,,2
13,#makeupart,18,#glam,Undirected,128,,1
15,#makeuplook,18,#glam,Undirected,129,,3
16,#beauty,18,#glam,Undirected,130,,3
17,#bridalmakeup,18,#glam,Undirected,131,,3
1,#makeupartist,19,#makeupforever,Undirected,132,,3
